AGE,CI_LOWER,CI_UPPER,COUNT,EVENT_TYPE,POPULATION,RACE,RATE,SEX,SITE,YEAR,RATE == as.numeric(RATE)
1-4,19.0,20.5,2959,Incidence,14991152,All Races,19.7,Male and Female,All Cancer Sites Combined,1999,TRUE
10-14,11.9,12.9,2449,Incidence,19742631,All Races,12.4,Male and Female,All Cancer Sites Combined,1999,TRUE
15-19,19.1,20.4,3871,Incidence,19585857,All Races,19.8,Male and Female,All Cancer Sites Combined,1999,TRUE
20-24,32.0,33.6,5951,Incidence,18148795,All Races,32.8,Male and Female,All Cancer Sites Combined,1999,TRUE
25-29,51.0,53.0,9962,Incidence,19157556,All Races,52,Male and Female,All Cancer Sites Combined,1999,FALSE
30-34,81.0,83.5,16601,Incidence,20196134,All Races,82.2,Male and Female,All Cancer Sites Combined,1999,TRUE
35-39,124.9,127.9,28328,Incidence,22411728,All Races,126.4,Male and Female,All Cancer Sites Combined,1999,TRUE
40-44,208.9,212.8,45810,Incidence,21729686,All Races,210.8,Male and Female,All Cancer Sites Combined,1999,TRUE
45-49,342.0,347.3,66293,Incidence,19235534,All Races,344.6,Male and Female,All Cancer Sites Combined,1999,TRUE
5-9,10.6,11.5,2227,Incidence,20146188,All Races,11.1,Male and Female,All Cancer Sites Combined,1999,TRUE
50-54,563.2,570.5,93857,Incidence,16557188,All Races,566.9,Male and Female,All Cancer Sites Combined,1999,TRUE
55-59,906.1,916.6,116539,Incidence,12787366,All Races,911.4,Male and Female,All Cancer Sites Combined,1999,TRUE
60-64,1329.7,1343.8,139499,Incidence,10435791,All Races,1336.7,Male and Female,All Cancer Sites Combined,1999,TRUE
65-69,1858.5,1876.1,173875,Incidence,9311622,All Races,1867.3,Male and Female,All Cancer Sites Combined,1999,TRUE
70-74,2232.9,2252.9,194474,Incidence,8670689,All Races,2242.9,Male and Female,All Cancer Sites Combined,1999,TRUE
75-79,2444.3,2467.2,176197,Incidence,7174978,All Races,2455.7,Male and Female,All Cancer Sites Combined,1999,TRUE
80-84,2462.3,2490.6,118072,Incidence,4767800,All Races,2476.4,Male and Female,All Cancer Sites Combined,1999,TRUE
85+,2296.8,2326.4,93619,Incidence,4050040,All Races,2311.6,Male and Female,All Cancer Sites Combined,1999,TRUE
<1,21.9,25.0,868,Incidence,3708753,All Races,23.4,Male and Female,All Cancer Sites Combined,1999,TRUE
1-4,3.6,4.3,590,Incidence,14991152,All Races,3.9,Male and Female,Brain and Other Nervous System,1999,TRUE
10-14,2.4,2.9,524,Incidence,19742631,All Races,2.7,Male and Female,Brain and Other Nervous System,1999,TRUE
15-19,1.8,2.2,399,Incidence,19585857,All Races,2,Male and Female,Brain and Other Nervous System,1999,FALSE
20-24,2.0,2.5,406,Incidence,18148795,All Races,2.2,Male and Female,Brain and Other Nervous System,1999,TRUE
25-29,2.9,3.4,593,Incidence,19157556,All Races,3.1,Male and Female,Brain and Other Nervous System,1999,TRUE
30-34,3.6,4.1,779,Incidence,20196134,All Races,3.9,Male and Female,Brain and Other Nervous System,1999,TRUE
35-39,4.0,4.5,946,Incidence,22411728,All Races,4.2,Male and Female,Brain and Other Nervous System,1999,TRUE
40-44,4.8,5.4,1111,Incidence,21729686,All Races,5.1,Male and Female,Brain and Other Nervous System,1999,TRUE
45-49,6.0,6.8,1231,Incidence,19235534,All Races,6.4,Male and Female,Brain and Other Nervous System,1999,TRUE
